symbol Prdm16s-Bulk_1 Ctrl-Bulk_1 L-MEP_1 Ctrl-MEP_1 Prdm16s-Bulk_2 Ctrl-Bulk_2 L-MEP_2 Ctrl-MEP_2 Prdm16s-Bulk_3 Ctrl-Bulk_3 L-MEP_3 Ctrl-MEP_3
1110065P20Rik 1.0043609889 0.3514781906 2.8285789683 2.6770063943999998 1.2156893506 1.984133484 3.0507526739 3.5302492291000003 0.9289177719 3.1672753654 2.1971911521000003 6.233238918500001
1190002N15Rik 1.9762773037999999 3.8987384611 8.4805452094 6.2514609017 5.6284878086 4.4564427398 11.739523927 8.8192775616 0.1493323507 4.630763375 1.2715896136 10.1502006854
1190005I06Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1190007I07Rik 28.0345617838 20.588257916 54.7488854325 32.4382652115 33.437958154200004 38.259747366300005 44.000646045 73.9044461283 6.3086928894000005 42.794320628200005 6.7149451521 63.312276303900006
1300002E11Rik 1.6624850801 7.306200852100001 10.9792303628 14.427029156400001 2.3398718999 10.311079136 11.8055501965 27.8925357192 0.9237558141 9.5934072228 2.1144981787 26.817477099899996
1300017J02Rik 0.0 2.8254211647000003 0.0 6.2293582687999995 0.0 4.2248026567000005 0.0 4.5523921598 0.0 4.0201132595999995 0.0 5.1580757169
1500004A13Rik 0.1994110712 0.3198447719 0.3412505025 0.2797404301 0.1005705445 0.19931498949999998 0.1593979878 0.0876142627 0.0 0.1379051265 1.0906044889 0.39432689
1500009C09Rik 0.0 0.0 0.0471677428 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1500009L16Rik 1.6665326559 1.0093959092 4.9642271592 0.0 1.5516838947 2.7134058054000003 1.9469627616999998 0.0 0.0 5.4256658402 1.4022275191999998 0.0
1500011B03Rik 28.518076574899997 26.4900158556 41.3144944196 26.0533544443 27.167406292800003 30.491566169499997 37.8521946425 41.070054732399996 25.7789371316 30.5326073754 17.329887201 33.1772432957
1500011K16Rik 33.217474954000004 18.4935602334 44.1839032251 23.2992849348 29.698196564899998 30.8933462949 45.5611271549 53.402963739700006 54.4041138466 28.3494680348 12.386631254600001 43.235719955
1500012K07Rik 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1500015A07Rik 3.530997013 4.2386685872 4.0471137921 4.0894341526 2.981830317 3.7658695379 6.8921030449 3.8243735345 0.0 5.3835453594 0.8982079709999999 4.9463843047000005
1500015L24Rik 0.0 0.6884996946999999 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
