symbol	X468VTF.V19	X468VTF.V1	X468VTF.V5.2	X468VTF.V5	X474IDH.V3.2	X474IDH.V3	X474IDH.V9	wt1.lsk	wt2.lsk	wt3.lsk	wt4.lsk
Chrna2	0.0	0.0	0.0	3.0	3.0	0.0	4.0	6.0	7.0	0.0	11.0
Chrna3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrna4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrna5	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
Chrna6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrna7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Chrna9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Chrnb1	170.0	134.0	375.0	200.0	65.0	33.0	135.0	346.0	313.0	389.0	500.0
Chrnb2	35.0	0.0	38.0	4.0	75.0	9.0	33.0	14.0	36.0	30.0	52.0
Chrnb3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrnb4	0.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	6.0
Chrnd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chrne	15.0	37.0	9.0	12.0	5.0	3.0	4.0	16.0	9.0	3.0	7.0
Chrng	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Chst1	0.0	0.0	2.0	4.0	3.0	0.0	5.0	66.0	65.0	7.0	14.0
Chst10	31.0	21.0	108.0	39.0	21.0	0.0	22.0	63.0	83.0	63.0	84.0
Chst11	495.0	137.0	1237.0	417.0	1976.0	552.0	335.0	824.0	735.0	755.0	458.0
Chst12	860.0	511.0	2422.0	2252.0	4910.0	4570.0	1745.0	1410.0	1653.0	1030.0	954.0
Chst13	21.0	38.0	29.0	5.0	466.0	91.0	7.0	47.0	65.0	18.0	7.0
Chst14	134.0	156.0	530.0	152.0	503.0	91.0	116.0	154.0	144.0	248.0	124.0
Chst15	244.0	82.0	998.0	502.0	789.0	270.0	270.0	505.0	479.0	387.0	444.0
Chst2	419.0	48.0	481.0	285.0	11.0	0.0	243.0	63.0	22.0	47.0	69.0
Chst3	0.0	0.0	4.0	3.0	3.0	3.0	5.0	146.0	113.0	172.0	132.0
Chst4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chst5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chst7	0.0	0.0	17.0	2.0	13.0	4.0	4.0	3.0	5.0	5.0	7.0
Chst8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chst9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chsy1	3413.0	1257.0	3661.0	3591.0	3464.0	2438.0	2602.0	1738.0	1546.0	1489.0	1268.0
Chsy3	3.0	1.0	42.0	9.0	13.0	4.0	14.0	3.0	2.0	0.0	0.0
Chtf18	200.0	74.0	1218.0	570.0	1426.0	851.0	600.0	406.0	433.0	391.0	316.0
Chtf8	479.0	291.0	7689.0	622.0	6479.0	492.0	687.0	515.0	500.0	486.0	371.0
Chtop	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chuk	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
Churc1	1093.0	1115.0	943.0	1308.0	666.0	843.0	1021.0	1381.0	1233.0	1125.0	1534.0
Ciao1	803.0	702.0	2190.0	1496.0	1774.0	1247.0	977.0	872.0	1038.0	737.0	687.0
Ciao2a	3530.0	5231.0	4807.0	7749.0	4285.0	6461.0	5966.0	4717.0	4999.0	3494.0	4403.0
Ciao2b	1003.0	948.0	1059.0	1235.0	589.0	643.0	1043.0	1281.0	1208.0	966.0	1200.0
Ciao3	271.0	414.0	1039.0	634.0	1389.0	1012.0	609.0	445.0	594.0	352.0	528.0
Ciapin1	985.0	825.0	2529.0	2898.0	2223.0	2466.0	2055.0	1298.0	1713.0	981.0	978.0
Ciart	26.0	6.0	43.0	51.0	45.0	27.0	61.0	50.0	35.0	29.0	61.0
Cib1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cib2	32.0	54.0	63.0	9.0	80.0	29.0	9.0	12.0	17.0	35.0	24.0
Cib3	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	8.0	2.0
Cib4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cic	9.3333	1.3333	63.6667	11.6667	103.3333	6.0	8.0	21.3333	14.3333	17.0	15.6667
Cidea	1.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0
Cideb	3.0	0.0	12.0	2.0	6.0	3.0	3.0	4.0	3.0	1.0	4.0
Cidec	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ciita	3.2	0.0	4.0	3.2	1.0	1.6	10.6	2.2	2.4	1.4	2.8
Cilp	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	0.0
Cilp2	0.0	0.0	1.0	1.0	4.0	0.0	0.0	5.0	1.0	1.0	3.0
Cinp	1.0	0.5	5.5	2.0	6.5	5.0	4.0	5.0	4.0	2.5	2.5
Cip2a	1579.0	1648.0	2411.0	1632.0	2556.0	1392.0	1242.0	1189.0	989.0	899.0	1296.0
Cipc	0.4	0.0	0.2	0.6	0.2	0.2	0.2	0.0	0.8	0.0	0.4
Cir1	153.0	163.0	91.0	82.0	78.0	73.0	84.0	120.0	111.0	140.0	125.0
Cirbp	1795.0	1569.0	2927.0	4113.0	1847.0	1627.0	2687.0	4060.0	4032.0	6418.0	5523.0
Cisd1	1760.0	1037.0	1376.0	2168.0	762.0	936.0	1546.0	1706.0	1543.0	1209.0	1448.0
Cisd2	2296.0	3323.0	2704.0	3517.0	2418.0	2822.0	2625.0	2094.0	2194.0	1458.0	1832.0
Cisd3	326.0	177.0	375.0	551.0	211.0	267.0	287.0	289.0	315.0	153.0	183.0
Cish	2512.0	850.0	3932.0	3156.0	624.0	442.0	2396.0	447.0	286.0	363.0	375.0
Cit	263.0	41.0	597.0	669.0	1116.0	923.0	708.0	632.0	649.0	561.0	812.0
Cited1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cited2	5083.0	3983.0	5056.0	2158.0	5284.0	1525.0	1815.0	1788.0	1551.0	1486.0	1251.0
Cited4	11.0	1.0	15.0	1.0	137.0	18.0	6.0	21.0	9.0	8.0	9.0
Ciz1	0.0	0.0	8.8	1.4	8.4	2.2	2.0	1.6	1.2	1.2	0.0
CK137956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ckap2	880.0	826.0	1525.0	971.0	1287.0	964.0	890.0	921.0	975.0	918.0	592.0
Ckap2l	1400.0	630.0	2699.0	3073.0	2994.0	2959.0	2270.0	1389.0	1922.0	1554.0	1068.0
Ckap4	3301.0	1264.0	4575.0	2621.0	6708.0	2895.0	3114.0	1820.0	2081.0	1834.0	933.0
Ckap5	4.0	0.5	23.5	16.5	30.0	11.5	14.5	10.0	7.5	13.5	8.0
Ckb	375.0	530.0	2746.0	1677.0	667.0	430.0	1564.0	60.0	152.0	42.0	91.0
